epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,387.497,1.22311,3.04042,1.33247,0.00325,0.51667,0.11744,0.0897,1.37524,3.76302,1.64735,1.667e-05,1.667e-05,1.667e-05
2,691.283,1.29354,3.06579,1.36656,0.00346,0.61667,0.12052,0.09395,1.30642,3.74861,1.5757,4.95149e-05,4.95149e-05,4.95149e-05
3,997.677,1.14324,2.92908,1.2884,0.0034,0.61667,0.11736,0.09279,1.15446,3.72771,1.44761,8.16997e-05,8.16997e-05,8.16997e-05
4,1230.55,1.01472,2.76567,1.29811,0.00388,0.7,0.13153,0.11175,1.08969,3.66825,1.41043,0.000113224,0.000113224,0.000113224
5,1426.38,0.95546,2.55666,1.25927,0.00386,0.7,0.17627,0.15296,1.02129,3.62998,1.37644,0.000144089,0.000144089,0.000144089
6,1617.17,1.08155,2.33507,1.25647,0.00379,0.7,0.25626,0.19718,1.08395,3.57864,1.40891,0.000174293,0.000174293,0.000174293
7,1838.61,1.06584,2.26708,1.3646,0.00367,0.7,0.32553,0.25402,1.09287,3.50243,1.41535,0.000203837,0.000203837,0.000203837
8,2060.02,1.18227,1.96451,1.26848,0.00356,0.7,0.36154,0.30356,1.13454,3.32696,1.43637,0.000232722,0.000232722,0.000232722
9,2259.73,1.06778,1.9889,1.28434,0.00368,0.6,0.35382,0.28236,1.20135,3.28198,1.43563,0.000260946,0.000260946,0.000260946
10,2473.34,1.0263,1.84487,1.25,0.00354,0.7,0.37178,0.29155,1.20746,3.25974,1.45292,0.000288509,0.000288509,0.000288509
11,2704.47,0.97574,1.70868,1.2114,0.00615,0.6,0.37988,0.28364,1.23618,3.26087,1.42855,0.000315413,0.000315413,0.000315413
12,2892.35,0.97578,1.75205,1.20881,0.15731,0.6,0.36534,0.27393,1.22802,3.28865,1.43449,0.000341657,0.000341657,0.000341657
13,3063.95,0.99342,1.6022,1.21703,0.1428,0.41667,0.38754,0.27008,1.18854,3.25594,1.41187,0.00036724,0.00036724,0.00036724
14,3283.77,0.98123,1.50775,1.25377,0.40174,0.25,0.26245,0.1873,1.2427,3.21787,1.4092,0.000392163,0.000392163,0.000392163
15,3467.55,0.86495,1.4855,1.14914,1,0.19493,0.39494,0.25929,1.17334,3.26364,1.36999,0.000416427,0.000416427,0.000416427
16,3655.94,1.00666,1.40815,1.2021,1,0.21571,0.39632,0.25641,1.20672,3.16861,1.42731,0.00044003,0.00044003,0.00044003
17,3849.58,1.02204,1.45905,1.2303,0.95492,0.16667,0.3332,0.20964,1.2176,3.11234,1.46306,0.000462973,0.000462973,0.000462973
18,4004.98,0.89139,1.19641,1.08999,0.96931,0.16667,0.33851,0.20811,1.34004,3.00818,1.53171,0.000485255,0.000485255,0.000485255
19,4225.86,0.8926,1.28325,1.09203,0.87005,0.41667,0.42298,0.25457,1.3966,2.8577,1.54121,0.000506878,0.000506878,0.000506878
20,4409.49,0.90243,1.32544,1.15336,0.8573,0.5,0.45505,0.30637,1.4332,2.72215,1.67856,0.000527841,0.000527841,0.000527841
21,4617.91,0.91078,1.26459,1.11303,0.903,0.34834,0.46813,0.28388,1.43288,2.82045,1.6536,0.000548143,0.000548143,0.000548143
22,4820.96,0.96426,1.28837,1.10771,0.36959,0.41667,0.41939,0.24176,1.40495,2.94359,1.67528,0.000567785,0.000567785,0.000567785
23,4994.04,0.93536,1.27703,1.13395,0.35178,0.39791,0.4004,0.23075,1.56363,3.06437,1.63117,0.000586767,0.000586767,0.000586767
24,5178.23,0.94074,1.17918,1.14451,0.30802,0.33333,0.32469,0.21447,1.66905,3.08244,1.68421,0.000605089,0.000605089,0.000605089
25,5396.45,0.87919,1.23052,1.13373,0.39885,0.32951,0.34581,0.22032,1.7854,3.05767,1.75298,0.000622751,0.000622751,0.000622751
26,5633.56,0.86761,1.11329,1.07853,0.2887,0.33333,0.3435,0.24198,1.73466,3.06943,1.79617,0.000639753,0.000639753,0.000639753
27,5859.76,0.92119,1.18123,1.10249,0.32329,0.16667,0.15376,0.11145,1.87747,3.18822,1.90268,0.000656095,0.000656095,0.000656095
28,6038.32,0.93123,1.11224,1.11265,0.32518,0.31294,0.30208,0.20137,1.87747,3.18822,1.90268,0.000671776,0.000671776,0.000671776
29,6308.41,0.86871,1.11634,1.07618,0.31416,0.25,0.29451,0.17801,2.16736,3.16508,2.16538,0.000686797,0.000686797,0.000686797
30,6538.28,0.87444,1.035,1.07574,0.35767,0.33333,0.32528,0.18414,2.00553,3.08235,1.9872,0.000701159,0.000701159,0.000701159
31,6757.94,0.85193,1.0883,1.0974,0.35767,0.33333,0.32528,0.18414,2.00553,3.08235,1.9872,0.00071486,0.00071486,0.00071486
32,6971.21,0.83548,1.07396,1.11893,0.37626,0.33333,0.365,0.19231,1.92393,3.22379,1.9151,0.000727901,0.000727901,0.000727901
33,7146.41,0.80708,1.05354,1.07381,0.32775,0.41667,0.42421,0.21724,1.78379,3.15144,1.92262,0.000740281,0.000740281,0.000740281
34,7363.56,0.82997,1.06546,1.07588,0.32775,0.41667,0.42421,0.21724,1.78379,3.15144,1.92262,0.000752002,0.000752002,0.000752002
35,7670,0.84642,1.03719,1.14635,0.40853,0.41667,0.42917,0.20171,1.9086,3.19136,2.13605,0.000763063,0.000763063,0.000763063
36,7875.4,0.78826,0.99902,1.0268,0.41564,0.41151,0.45473,0.19153,1.86152,3.07922,2.17454,0.000773463,0.000773463,0.000773463
37,8069.91,0.77288,0.97372,1.01384,0.41564,0.41151,0.45473,0.19153,1.86152,3.07922,2.17454,0.000783203,0.000783203,0.000783203
38,8258.14,0.8698,1.15489,1.22807,0.91342,0.40043,0.46169,0.24753,1.66212,2.94129,1.92427,0.000792283,0.000792283,0.000792283
39,8524.96,0.83351,1.10052,1.10268,1,0.49212,0.50983,0.29617,1.51703,2.68737,1.89304,0.000800703,0.000800703,0.000800703
40,8735.01,0.81717,1.08862,1.09584,1,0.49212,0.50983,0.29617,1.51703,2.68737,1.89304,0.000808463,0.000808463,0.000808463
41,8980.61,0.83928,0.98351,1.07195,0.97389,0.41667,0.49195,0.27499,1.57732,2.96727,2.04838,0.000815563,0.000815563,0.000815563
42,9159.45,0.78242,0.94925,1.03232,0.5,0.41529,0.49135,0.26695,1.61357,3.14999,2.20929,0.000822003,0.000822003,0.000822003
43,9373.18,0.74258,0.9099,1.00786,0.5,0.41529,0.49135,0.26695,1.61357,3.14999,2.20929,0.000827782,0.000827782,0.000827782
44,9677.72,0.73765,1.0322,1.0613,0.99466,0.5,0.51715,0.26326,1.53883,2.98968,2.17292,0.000832902,0.000832902,0.000832902
45,9878.46,0.69038,0.94199,1.02825,0.99466,0.5,0.51715,0.26326,1.53883,2.98968,2.17292,0.000837361,0.000837361,0.000837361
46,10063.8,0.73613,1.00855,1.04249,0.96843,0.5,0.52202,0.31083,1.50621,2.94325,2.05329,0.00084116,0.00084116,0.00084116
47,10308.3,0.78795,1.04474,1.05926,0.96843,0.5,0.52202,0.31083,1.50621,2.94325,2.05329,0.000844299,0.000844299,0.000844299
48,10479.4,0.78337,0.98278,1.04807,0.894,0.33333,0.41666,0.21843,1.47378,3.11416,1.88328,0.000846778,0.000846778,0.000846778
49,10737.6,0.76004,0.9825,1.05826,0.894,0.33333,0.41666,0.21843,1.47378,3.11416,1.88328,0.000848596,0.000848596,0.000848596
50,10973.9,0.77302,0.86535,1.04582,0.89145,0.33333,0.42065,0.25082,1.44735,3.23213,1.78287,0.000849755,0.000849755,0.000849755
51,11266.7,0.83571,0.97844,1.13141,0.89145,0.33333,0.42065,0.25082,1.44735,3.23213,1.78287,0.000841835,0.000841835,0.000841835
52,11536.1,0.71114,0.84118,1.01007,0.99368,0.33333,0.45651,0.28247,1.322,3.0885,1.70608,0.000825332,0.000825332,0.000825332
53,11744.1,0.73835,0.93855,1.06141,0.99368,0.33333,0.45651,0.28247,1.322,3.0885,1.70608,0.000808828,0.000808828,0.000808828
54,11993.2,0.75721,0.91933,1.04572,0.92749,0.49245,0.49359,0.3282,1.45225,2.79429,1.71947,0.000792325,0.000792325,0.000792325
55,12236.1,0.74118,0.95335,1.09564,0.92749,0.49245,0.49359,0.3282,1.45225,2.79429,1.71947,0.000775822,0.000775822,0.000775822
56,12419,0.71317,0.85835,0.99585,0.97751,0.5,0.51391,0.30906,1.47559,2.57361,1.70634,0.000759318,0.000759318,0.000759318
57,12697.7,0.80955,0.9304,1.14783,0.97751,0.5,0.51391,0.30906,1.47559,2.57361,1.70634,0.000742815,0.000742815,0.000742815
58,12870.4,0.73581,0.85353,1.01482,0.99796,0.41667,0.50248,0.31806,1.52389,2.4543,1.7207,0.000726312,0.000726312,0.000726312
59,13138.7,0.74849,0.91565,1.04085,0.99796,0.41667,0.50248,0.31806,1.52389,2.4543,1.7207,0.000709809,0.000709809,0.000709809
60,13312.7,0.68017,0.90482,1.03544,0.99685,0.41667,0.50016,0.3215,1.55118,2.35772,1.84068,0.000693305,0.000693305,0.000693305
61,13552.9,0.71542,0.79505,0.98581,0.99685,0.41667,0.50016,0.3215,1.55118,2.35772,1.84068,0.000676802,0.000676802,0.000676802
62,13781.3,0.73932,0.91882,1.05514,0.99895,0.41667,0.49716,0.30014,1.63825,2.44119,2.00904,0.000660299,0.000660299,0.000660299
63,13925.3,0.78385,0.90249,1.1023,0.99895,0.41667,0.49716,0.30014,1.63825,2.44119,2.00904,0.000643795,0.000643795,0.000643795
64,14134.6,0.79172,0.899,1.06331,1,0.41466,0.48516,0.3028,1.62573,2.48638,1.97072,0.000627292,0.000627292,0.000627292
65,14354.2,0.7245,0.83232,1.01546,1,0.41466,0.48516,0.3028,1.62573,2.48638,1.97072,0.000610789,0.000610789,0.000610789
66,14605.1,0.68076,0.84304,0.97191,1,0.41236,0.49537,0.30276,1.64348,2.57373,1.93539,0.000594286,0.000594286,0.000594286
67,14889.5,0.75791,0.85909,1.04209,1,0.41236,0.49537,0.30276,1.64348,2.57373,1.93539,0.000577782,0.000577782,0.000577782
68,15107.7,0.65803,0.80676,0.97083,1,0.41179,0.56316,0.35691,1.61826,2.48193,1.92639,0.000561279,0.000561279,0.000561279
